@relation reservas-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute anticipacion numeric
@attribute numeroPersonas numeric
@attribute metodoDePago {EFECTIVO,TARJETA_CREDITO,TARJETA_DEBITO,TRANSFERENCIA,PAYPAL}
@attribute clienteRecurrente {TRUE,FALSE}
@attribute diaSemana {LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO}
@attribute cancelada {cancelada,no_cancelada}

@data
5,3,TARJETA_DEBITO,FALSE,MARTES,cancelada
83,3,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
4,5,TARJETA_CREDITO,TRUE,LUNES,cancelada
306,2,EFECTIVO,TRUE,LUNES,cancelada
69,4,EFECTIVO,FALSE,DOMINGO,cancelada
365,7,TARJETA_DEBITO,TRUE,SABADO,cancelada
262,9,PAYPAL,FALSE,SABADO,cancelada
315,9,TARJETA_CREDITO,FALSE,JUEVES,cancelada
26,4,EFECTIVO,FALSE,MIERCOLES,cancelada
57,5,EFECTIVO,FALSE,MARTES,cancelada
86,8,PAYPAL,FALSE,VIERNES,cancelada
5,2,TARJETA_CREDITO,TRUE,MARTES,cancelada
292,8,PAYPAL,FALSE,MIERCOLES,cancelada
90,8,TARJETA_DEBITO,TRUE,VIERNES,cancelada
243,2,EFECTIVO,TRUE,VIERNES,cancelada
187,2,PAYPAL,TRUE,VIERNES,cancelada
82,2,TRANSFERENCIA,FALSE,DOMINGO,cancelada
40,2,TARJETA_CREDITO,FALSE,VIERNES,cancelada
8,8,EFECTIVO,TRUE,DOMINGO,cancelada
179,9,EFECTIVO,TRUE,VIERNES,cancelada
280,1,TRANSFERENCIA,TRUE,VIERNES,cancelada
76,2,EFECTIVO,TRUE,DOMINGO,cancelada
139,9,EFECTIVO,TRUE,VIERNES,cancelada
326,1,EFECTIVO,FALSE,MARTES,cancelada
16,7,TRANSFERENCIA,TRUE,SABADO,cancelada
85,6,EFECTIVO,TRUE,LUNES,cancelada
121,4,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
33,8,TRANSFERENCIA,FALSE,LUNES,cancelada
1,10,TARJETA_DEBITO,TRUE,SABADO,cancelada
347,2,EFECTIVO,FALSE,SABADO,cancelada
147,5,PAYPAL,FALSE,SABADO,cancelada
183,5,TRANSFERENCIA,FALSE,JUEVES,cancelada
157,6,TARJETA_CREDITO,TRUE,MARTES,cancelada
181,4,TRANSFERENCIA,FALSE,MARTES,cancelada
8,7,PAYPAL,TRUE,LUNES,cancelada
227,7,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
149,2,EFECTIVO,FALSE,MIERCOLES,cancelada
97,8,TARJETA_CREDITO,FALSE,LUNES,cancelada
49,9,PAYPAL,FALSE,MIERCOLES,cancelada
237,2,EFECTIVO,TRUE,MARTES,cancelada
126,3,EFECTIVO,TRUE,LUNES,cancelada
8,8,EFECTIVO,TRUE,DOMINGO,cancelada
128,10,TRANSFERENCIA,FALSE,DOMINGO,cancelada
26,7,EFECTIVO,FALSE,LUNES,cancelada
241,4,PAYPAL,TRUE,DOMINGO,cancelada
247,1,TARJETA_CREDITO,FALSE,MARTES,cancelada
276,5,TARJETA_CREDITO,TRUE,SABADO,cancelada
28,8,TARJETA_DEBITO,TRUE,LUNES,cancelada
342,1,TARJETA_DEBITO,FALSE,LUNES,cancelada
286,1,TRANSFERENCIA,TRUE,SABADO,cancelada
346,3,TARJETA_CREDITO,FALSE,VIERNES,cancelada
274,9,PAYPAL,FALSE,SABADO,cancelada
247,4,PAYPAL,TRUE,JUEVES,cancelada
267,5,TARJETA_CREDITO,TRUE,JUEVES,cancelada
274,9,PAYPAL,FALSE,SABADO,cancelada
127,2,TARJETA_DEBITO,FALSE,JUEVES,cancelada
319,6,PAYPAL,FALSE,LUNES,cancelada
238,9,TRANSFERENCIA,FALSE,DOMINGO,cancelada
97,8,TARJETA_CREDITO,FALSE,LUNES,cancelada
247,1,TARJETA_CREDITO,FALSE,MARTES,cancelada
313,9,TARJETA_DEBITO,TRUE,JUEVES,cancelada
143,10,EFECTIVO,TRUE,DOMINGO,cancelada
363,3,TARJETA_DEBITO,TRUE,LUNES,cancelada
282,2,TRANSFERENCIA,FALSE,SABADO,cancelada
165,4,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
217,2,TARJETA_DEBITO,FALSE,LUNES,cancelada
216,3,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
151,3,EFECTIVO,FALSE,VIERNES,cancelada
227,7,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
294,10,PAYPAL,TRUE,DOMINGO,cancelada
255,8,TRANSFERENCIA,TRUE,DOMINGO,cancelada
18,8,PAYPAL,TRUE,DOMINGO,cancelada
29,3,TARJETA_CREDITO,TRUE,SABADO,cancelada
121,4,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
332,10,PAYPAL,TRUE,MARTES,cancelada
26,3,PAYPAL,FALSE,DOMINGO,cancelada
252,5,PAYPAL,TRUE,VIERNES,cancelada
9,3,TARJETA_CREDITO,TRUE,MARTES,cancelada
181,4,TRANSFERENCIA,FALSE,MARTES,cancelada
237,2,EFECTIVO,TRUE,MARTES,cancelada
121,4,PAYPAL,FALSE,MARTES,cancelada
226,2,EFECTIVO,TRUE,JUEVES,cancelada
148,3,TRANSFERENCIA,FALSE,MARTES,cancelada
204,1,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
226,1,EFECTIVO,TRUE,SABADO,cancelada
292,6,TRANSFERENCIA,FALSE,MIERCOLES,cancelada
313,2,TARJETA_CREDITO,TRUE,LUNES,cancelada
208,7,TARJETA_DEBITO,FALSE,MIERCOLES,cancelada
183,5,TRANSFERENCIA,FALSE,JUEVES,cancelada
253,4,TRANSFERENCIA,TRUE,VIERNES,cancelada
302,6,EFECTIVO,TRUE,DOMINGO,cancelada
1,10,TARJETA_DEBITO,TRUE,SABADO,cancelada
159,6,TARJETA_DEBITO,FALSE,SABADO,cancelada
162,5,PAYPAL,TRUE,LUNES,cancelada
261,8,PAYPAL,FALSE,JUEVES,cancelada
54,1,EFECTIVO,TRUE,SABADO,cancelada
25,8,PAYPAL,FALSE,MIERCOLES,cancelada
238,9,TRANSFERENCIA,FALSE,DOMINGO,cancelada
252,8,PAYPAL,FALSE,MARTES,cancelada
363,6,EFECTIVO,TRUE,SABADO,cancelada
8,9,PAYPAL,FALSE,MIERCOLES,cancelada
261,1,TARJETA_CREDITO,TRUE,MIERCOLES,cancelada
230,9,TARJETA_CREDITO,TRUE,SABADO,cancelada
244,1,EFECTIVO,FALSE,SABADO,cancelada
247,4,PAYPAL,TRUE,JUEVES,cancelada
193,1,PAYPAL,FALSE,LUNES,cancelada
216,5,PAYPAL,TRUE,VIERNES,cancelada
112,5,EFECTIVO,TRUE,SABADO,cancelada
360,1,EFECTIVO,TRUE,SABADO,cancelada
8,6,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
216,3,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
181,4,TRANSFERENCIA,FALSE,MARTES,cancelada
148,1,PAYPAL,FALSE,MARTES,cancelada
221,10,EFECTIVO,FALSE,VIERNES,cancelada
192,10,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
248,4,EFECTIVO,TRUE,DOMINGO,cancelada
357,5,TRANSFERENCIA,FALSE,VIERNES,cancelada
226,2,PAYPAL,TRUE,VIERNES,cancelada
159,10,EFECTIVO,FALSE,SABADO,cancelada
128,9,TARJETA_CREDITO,TRUE,MARTES,cancelada
238,3,TRANSFERENCIA,TRUE,MIERCOLES,cancelada
84,10,TRANSFERENCIA,TRUE,MIERCOLES,cancelada
300,10,TARJETA_DEBITO,TRUE,MARTES,cancelada
201,1,TARJETA_CREDITO,TRUE,JUEVES,cancelada
191,3,PAYPAL,TRUE,MIERCOLES,cancelada
241,3,TARJETA_CREDITO,FALSE,LUNES,cancelada
243,2,EFECTIVO,TRUE,VIERNES,cancelada
87,1,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
84,2,TRANSFERENCIA,FALSE,MIERCOLES,cancelada
165,4,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
178,4,PAYPAL,FALSE,MIERCOLES,cancelada
309,9,TRANSFERENCIA,FALSE,JUEVES,cancelada
135,9,TRANSFERENCIA,TRUE,DOMINGO,cancelada
1,10,TARJETA_DEBITO,TRUE,SABADO,cancelada
263,8,TRANSFERENCIA,FALSE,MARTES,cancelada
243,2,TARJETA_DEBITO,TRUE,MARTES,cancelada
143,10,EFECTIVO,TRUE,DOMINGO,cancelada
169,6,TARJETA_DEBITO,FALSE,SABADO,cancelada
20,1,TRANSFERENCIA,FALSE,LUNES,cancelada
192,6,EFECTIVO,TRUE,MIERCOLES,cancelada
195,6,TARJETA_DEBITO,TRUE,LUNES,cancelada
282,4,TARJETA_DEBITO,FALSE,SABADO,cancelada
227,9,PAYPAL,FALSE,MIERCOLES,cancelada
45,6,EFECTIVO,TRUE,LUNES,cancelada
20,1,TRANSFERENCIA,FALSE,LUNES,cancelada
267,6,TARJETA_DEBITO,FALSE,MARTES,cancelada
57,5,EFECTIVO,FALSE,MARTES,cancelada
165,1,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
13,1,PAYPAL,FALSE,LUNES,cancelada
205,7,PAYPAL,TRUE,SABADO,cancelada
120,8,TARJETA_CREDITO,FALSE,MARTES,cancelada
112,9,TRANSFERENCIA,FALSE,JUEVES,cancelada
216,5,PAYPAL,TRUE,VIERNES,cancelada
322,4,TRANSFERENCIA,TRUE,VIERNES,cancelada
238,1,TRANSFERENCIA,TRUE,JUEVES,cancelada
307,2,TARJETA_CREDITO,TRUE,MARTES,cancelada
165,4,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
214,10,TARJETA_DEBITO,FALSE,VIERNES,cancelada
341,6,EFECTIVO,FALSE,VIERNES,cancelada
291,4,TARJETA_DEBITO,TRUE,JUEVES,cancelada
5,2,TARJETA_CREDITO,TRUE,MARTES,cancelada
153,8,TRANSFERENCIA,FALSE,DOMINGO,cancelada
68,10,TARJETA_DEBITO,FALSE,LUNES,cancelada
123,9,TRANSFERENCIA,FALSE,LUNES,cancelada
197,4,EFECTIVO,FALSE,DOMINGO,cancelada
316,2,EFECTIVO,TRUE,VIERNES,cancelada
52,4,TRANSFERENCIA,FALSE,MIERCOLES,cancelada
123,7,PAYPAL,TRUE,JUEVES,cancelada
241,4,PAYPAL,TRUE,DOMINGO,cancelada
226,1,EFECTIVO,TRUE,SABADO,cancelada
352,6,TARJETA_CREDITO,TRUE,DOMINGO,cancelada
53,2,EFECTIVO,TRUE,LUNES,cancelada
361,10,TARJETA_CREDITO,TRUE,LUNES,cancelada
27,5,EFECTIVO,TRUE,DOMINGO,cancelada
1,10,TARJETA_DEBITO,TRUE,SABADO,cancelada
192,10,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
255,9,TRANSFERENCIA,FALSE,MARTES,cancelada
134,8,TRANSFERENCIA,TRUE,VIERNES,cancelada
67,10,EFECTIVO,TRUE,JUEVES,cancelada
221,3,TARJETA_DEBITO,FALSE,VIERNES,cancelada
362,3,TARJETA_DEBITO,FALSE,SABADO,cancelada
126,3,EFECTIVO,TRUE,LUNES,cancelada
258,10,EFECTIVO,TRUE,MIERCOLES,cancelada
349,2,TRANSFERENCIA,TRUE,SABADO,cancelada
327,7,EFECTIVO,TRUE,SABADO,cancelada
120,8,TARJETA_CREDITO,FALSE,MARTES,cancelada
320,4,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
172,4,PAYPAL,TRUE,VIERNES,cancelada
292,3,TRANSFERENCIA,FALSE,VIERNES,cancelada
53,7,EFECTIVO,FALSE,MARTES,cancelada
152,8,TARJETA_CREDITO,FALSE,SABADO,cancelada
114,2,TRANSFERENCIA,FALSE,MARTES,cancelada
192,6,EFECTIVO,TRUE,MIERCOLES,cancelada
270,6,PAYPAL,FALSE,LUNES,cancelada
300,4,PAYPAL,FALSE,LUNES,cancelada
119,1,TARJETA_CREDITO,FALSE,LUNES,cancelada
204,6,PAYPAL,FALSE,MIERCOLES,cancelada
45,8,TRANSFERENCIA,TRUE,MIERCOLES,cancelada
134,8,TRANSFERENCIA,TRUE,VIERNES,cancelada
274,7,TARJETA_CREDITO,FALSE,MARTES,cancelada
216,5,PAYPAL,TRUE,VIERNES,cancelada
128,9,TARJETA_CREDITO,TRUE,MARTES,cancelada
177,4,TARJETA_CREDITO,TRUE,JUEVES,cancelada
17,8,TRANSFERENCIA,TRUE,MARTES,cancelada
296,1,PAYPAL,FALSE,LUNES,cancelada
67,1,TARJETA_DEBITO,TRUE,VIERNES,cancelada
204,6,PAYPAL,FALSE,MIERCOLES,cancelada
4,7,EFECTIVO,TRUE,DOMINGO,cancelada
199,3,TRANSFERENCIA,TRUE,LUNES,cancelada
278,5,EFECTIVO,FALSE,LUNES,cancelada
197,4,EFECTIVO,FALSE,DOMINGO,cancelada
153,8,TRANSFERENCIA,FALSE,DOMINGO,cancelada
165,4,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
53,7,EFECTIVO,FALSE,MARTES,cancelada
239,9,TARJETA_DEBITO,FALSE,VIERNES,cancelada
18,9,TARJETA_DEBITO,FALSE,JUEVES,cancelada
310,3,PAYPAL,TRUE,VIERNES,cancelada
191,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
153,4,PAYPAL,TRUE,SABADO,cancelada
226,3,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
8,6,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
342,1,TARJETA_DEBITO,FALSE,LUNES,cancelada
310,3,PAYPAL,TRUE,VIERNES,cancelada
333,6,TARJETA_DEBITO,FALSE,MARTES,cancelada
276,6,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
319,8,EFECTIVO,FALSE,MIERCOLES,cancelada
298,5,TARJETA_DEBITO,FALSE,SABADO,cancelada
8,8,EFECTIVO,TRUE,DOMINGO,cancelada
217,2,TARJETA_DEBITO,FALSE,LUNES,cancelada
341,6,EFECTIVO,FALSE,VIERNES,cancelada
241,3,TARJETA_CREDITO,FALSE,LUNES,cancelada
175,5,PAYPAL,TRUE,MARTES,cancelada
311,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
141,2,PAYPAL,TRUE,SABADO,cancelada
316,5,EFECTIVO,FALSE,MIERCOLES,cancelada
94,9,PAYPAL,TRUE,JUEVES,cancelada
304,8,TARJETA_CREDITO,TRUE,JUEVES,cancelada
215,1,TRANSFERENCIA,TRUE,SABADO,cancelada
332,3,PAYPAL,FALSE,MARTES,cancelada
5,3,TARJETA_DEBITO,FALSE,MARTES,cancelada
283,6,EFECTIVO,TRUE,DOMINGO,cancelada
148,1,PAYPAL,FALSE,MARTES,cancelada
225,4,TRANSFERENCIA,FALSE,MIERCOLES,cancelada
227,9,PAYPAL,FALSE,MIERCOLES,cancelada
136,2,TARJETA_CREDITO,TRUE,MIERCOLES,cancelada
127,7,TRANSFERENCIA,FALSE,DOMINGO,cancelada
197,4,EFECTIVO,FALSE,DOMINGO,cancelada
139,1,TARJETA_CREDITO,FALSE,LUNES,cancelada
362,3,TARJETA_DEBITO,FALSE,SABADO,cancelada
294,10,PAYPAL,TRUE,DOMINGO,cancelada
54,6,PAYPAL,FALSE,JUEVES,cancelada
130,1,TRANSFERENCIA,FALSE,MARTES,cancelada
195,8,TRANSFERENCIA,FALSE,VIERNES,cancelada
45,8,TRANSFERENCIA,TRUE,MIERCOLES,cancelada
351,5,TARJETA_CREDITO,TRUE,MIERCOLES,cancelada
15,6,TARJETA_CREDITO,FALSE,JUEVES,cancelada
105,7,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
108,3,TRANSFERENCIA,TRUE,SABADO,cancelada
45,6,EFECTIVO,TRUE,LUNES,cancelada
217,7,TRANSFERENCIA,TRUE,DOMINGO,cancelada
83,3,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
200,8,PAYPAL,FALSE,MIERCOLES,cancelada
248,3,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
191,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
126,3,PAYPAL,FALSE,SABADO,cancelada
239,8,EFECTIVO,FALSE,MIERCOLES,cancelada
20,1,TRANSFERENCIA,FALSE,LUNES,cancelada
253,4,TARJETA_DEBITO,FALSE,DOMINGO,cancelada
248,4,EFECTIVO,TRUE,DOMINGO,cancelada
337,8,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
167,6,TARJETA_DEBITO,TRUE,SABADO,cancelada
139,9,EFECTIVO,TRUE,VIERNES,cancelada
326,4,PAYPAL,FALSE,MARTES,cancelada
135,9,EFECTIVO,TRUE,JUEVES,cancelada
143,10,EFECTIVO,TRUE,DOMINGO,cancelada
126,3,EFECTIVO,TRUE,LUNES,cancelada
361,10,TARJETA_CREDITO,TRUE,LUNES,cancelada
23,4,PAYPAL,TRUE,VIERNES,cancelada
252,9,PAYPAL,TRUE,MIERCOLES,cancelada
8,6,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
112,9,TRANSFERENCIA,FALSE,JUEVES,cancelada
85,5,TRANSFERENCIA,FALSE,SABADO,cancelada
5,3,TRANSFERENCIA,TRUE,SABADO,cancelada
283,6,EFECTIVO,TRUE,DOMINGO,cancelada
209,6,TARJETA_DEBITO,FALSE,VIERNES,cancelada
340,10,TARJETA_CREDITO,FALSE,MARTES,cancelada
218,6,PAYPAL,FALSE,JUEVES,cancelada
22,8,PAYPAL,TRUE,MIERCOLES,cancelada
161,6,PAYPAL,TRUE,SABADO,cancelada
241,4,PAYPAL,TRUE,DOMINGO,cancelada
358,10,PAYPAL,TRUE,MIERCOLES,cancelada
313,7,EFECTIVO,TRUE,JUEVES,cancelada
37,2,EFECTIVO,FALSE,MARTES,cancelada
58,2,PAYPAL,FALSE,DOMINGO,cancelada
172,8,TRANSFERENCIA,TRUE,MIERCOLES,cancelada
120,7,TRANSFERENCIA,FALSE,LUNES,cancelada
37,2,EFECTIVO,FALSE,MARTES,cancelada
265,2,TRANSFERENCIA,TRUE,LUNES,cancelada
26,3,PAYPAL,FALSE,DOMINGO,cancelada
271,6,TARJETA_DEBITO,FALSE,MARTES,cancelada
282,2,TRANSFERENCIA,FALSE,SABADO,cancelada
195,8,TRANSFERENCIA,FALSE,VIERNES,cancelada
147,5,PAYPAL,FALSE,SABADO,cancelada
226,3,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
23,4,PAYPAL,TRUE,VIERNES,cancelada
83,10,TARJETA_DEBITO,FALSE,MIERCOLES,cancelada
26,3,PAYPAL,FALSE,DOMINGO,cancelada
59,6,TARJETA_DEBITO,FALSE,DOMINGO,cancelada
57,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
181,1,TRANSFERENCIA,FALSE,MIERCOLES,cancelada
47,7,EFECTIVO,TRUE,SABADO,cancelada
16,7,TRANSFERENCIA,TRUE,SABADO,cancelada
78,6,TRANSFERENCIA,TRUE,DOMINGO,cancelada
191,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
286,1,TRANSFERENCIA,TRUE,SABADO,cancelada
189,2,TRANSFERENCIA,TRUE,JUEVES,cancelada
322,1,TARJETA_CREDITO,TRUE,MARTES,cancelada
244,1,EFECTIVO,FALSE,SABADO,cancelada
141,2,TARJETA_DEBITO,TRUE,SABADO,cancelada
311,6,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
109,7,TARJETA_DEBITO,TRUE,LUNES,cancelada
94,7,EFECTIVO,FALSE,LUNES,cancelada
53,6,EFECTIVO,FALSE,MARTES,cancelada
